Matz_Number,Serial,Batch,Assay,PC1Group,PC2Group,PC3Group
101,147,2,visual,-0.44,-0.11,
102,148,2,visual,-0.68,-0.4,
105,151,2,visual,-0.24,-0.93,
106,152,2,visual,1.15,1.2,
107,153,2,visual,-0.18,-0.24,
108,154,2,visual,0.47,1.06,
109,155,2,visual,-1.17,0.67,
110,156,2,visual,-0.02,-0.5,
112,158,2,visual,-0.36,0.73,
113,159,2,visual,1.35,-0.15,
116,163,2,visual,-0.13,0.3,
117,164,2,visual,-0.85,-0.05,
119,166,2,visual,-0.09,-1.91,
11,59,1,visual,1.09,0.34,
123,170,2,visual,0.51,-2.74,
124,172,2,visual,-0.83,0.21,
126,174,2,visual,-1.53,0.85,
129,178,2,visual,-0.23,-0.68,
12,60,1,visual,1.16,1.33,
143,97,2,acoustic,-0.47,0.83,-1.04
145,99,2,acoustic,0.23,-0.38,0.42
149,103,2,acoustic,0.98,-1.28,1.83
150,104,2,acoustic,0.24,0.16,-0.45
156,110,2,acoustic,-0.35,0.64,-1.7
159,113,2,acoustic,-0.7,-0.3,0.44
162,116,2,acoustic,0.02,-0.41,0.15
163,117,2,acoustic,-0.43,-0.38,0.39
166,120,2,acoustic,-0.18,-0.52,1.11
167,121,2,acoustic,-0.34,0.91,-0.52
168,122,2,acoustic,-0.59,-0.62,-0.23
16,64,1,visual,-0.73,0.21,
170,124,2,acoustic,1.41,-1.09,0.56
173,127,2,acoustic,-0.6,-0.41,1.31
179,133,2,acoustic,0.88,1.09,-0.85
180,134,2,acoustic,-0.09,-0.31,-0.86
181,135,2,acoustic,0.46,0,1.39
182,136,2,acoustic,-0.79,0.08,-0.12
186,140,2,acoustic,-0.77,-0.32,0.69
18,66,1,visual,0.72,0.72,
190,144,2,acoustic,-0.08,0.13,2.45
19,67,1,visual,-0.69,-0.64,
21,69,1,visual,1.2,0.32,
22,70,1,visual,-0.55,-0.29,
24,72,1,visual,-1.39,0.71,
25,73,1,visual,-2.58,1.19,
29,77,1,visual,-1.89,1.57,
30,78,1,visual,2.15,0.37,
34,82,1,visual,0.7,1.14,
36,84,1,visual,-0.7,-0.96,
37,85,1,visual,-0.28,0.03,
39,87,1,visual,-1.46,1.2,
40,88,1,visual,0.46,-0.97,
49,26,1,acoustic,-0.32,-0.9,0.88
51,28,1,acoustic,-0.22,-0.09,0.08
52,29,1,acoustic,0.3,0.34,1.33
53,30,1,acoustic,0.07,-1.21,-0.25
54,31,1,acoustic,-0.58,-0.31,-1.18
56,33,1,acoustic,-0.32,0.05,-1.01
57,34,1,acoustic,0.09,-0.03,1.96
58,35,1,acoustic,-0.45,-0.34,0.32
5,53,1,visual,0.99,0.37,
61,38,1,acoustic,-1.93,-0.88,0.67
62,39,1,acoustic,-0.02,-0.12,0.26
63,40,1,acoustic,-0.65,-0.82,0.78
66,43,1,acoustic,0.19,1.58,-0.89
67,44,1,acoustic,-0.34,0.41,-1.11
68,45,1,acoustic,-0.07,1.06,-0.37
69,47,1,acoustic,-0.62,0.96,-0.52
6,54,1,visual,0.33,-0.38,
70,48,1,acoustic,-0.5,1.13,-1.04
71,1,1,acoustic,0.27,0.55,-0.75
72,2,1,acoustic,0.91,-0.58,1.21
76,6,1,acoustic,-0.1,0.37,-0.87
8,56,1,visual,0.69,1.01,
92,22,1,acoustic,0.39,-0.53,-0.97
93,23,1,acoustic,-0.46,-0.96,0.58